1	123	2	2	-0.872	-0.138	0.526	phot
1	123	3	2	0.475	-0.981	1.05	phot
1	122	2	3	-0.273	0.616	3.23	compt
1	123	3	2	0.457	-0.323	1.09	phot
1	125	2	2	-0.183	-0.14	0.156	phot
1	126	3	2	0.532	-0.588	1.28	compt
1	123	3	2	0.175	-0.923	0.348	phot
1	125	2	2	-0.697	-1.1	0.485	phot
1	124	3	3	0.0572	0.709	0.0514	phot
1	124	3	2	0.218	-1.35	4.13	phot
1	120	3	3	0.549	0.0872	1.4	phot
1	121	3	3	0.12	0.223	0.737	phot
1	69.1	1	2	-5	-1.11	1.27	phot
2	97.5	2	2	-0.00933	-1.18	0.436	phot
2	21.5	3	2	0.201	-1.13	0.458	phot
1	58	1	2	-4.46	-2.1	0.106	phot
1	120	2	2	-0.831	-0.051	2.92	phot
2	37.2	3	2	0.0119	-1.77	4.62	phot
2	84.4	2	2	-0.000651	-1.77	4.62	eIoni
1	93.6	1	3	-3.52	0.501	3.45	phot
1	121	3	3	1.31	0.294	1.38	phot
1	125	3	3	0.624	0.577	1.15	phot
1	122	3	2	0.969	-0.525	0.58	phot
1	122	2	2	-0.46	-0.718	2.12	phot
1	116	2	2	-0.348	-0.977	3.34	phot
1	122	3	3	0.753	0.204	3.27	phot
1	123	3	2	0.543	-0.0496	2.36	phot
1	125	3	2	0.767	-0.785	0.107	phot
1	120	3	2	0.313	-0.644	3.8	phot
1	121	2	2	-1.48	-0.239	3.97	phot
1	120	2	3	-0.53	0.895	0.439	compt
1	121	2	3	-0.606	0.527	4.31	phot
1	122	3	3	0.319	0.91	0.279	phot
1	77.1	1	4	-2.76	3.6	0.285	phot
2	95	2	2	-0.0976	-0.341	1.12	phot
2	26.4	3	2	0.0117	-0.292	1.15	phot
1	123	3	2	0.563	-0.437	0.604	phot
1	124	3	3	0.209	0.842	0.268	phot
1	124	2	2	-0.66	-0.286	2.28	phot
1	126	3	3	0.306	0.296	0.738	phot
2	95.4	3	3	0.163	0.478	1.99	phot
2	27.9	3	2	0.231	-0.0745	2.07	phot
1	121	2	2	-0.923	-0.247	0.615	phot
1	120	3	3	0.587	0.539	1.26	phot
1	123	3	3	0.129	0.774	1.49	phot
1	52	3	2	1.04	-1.52	0.0412	phot
1	68	3	4	1.88	4.19	0.00162	phot
2	102	3	2	0.184	-0.38	3.59	phot
2	23.3	2	2	-0.0356	-0.476	3.66	phot
1	121	2	2	-0.129	-1.23	1.29	phot
1	123	2	2	-1.22	-0.231	3.25	phot
1	124	2	3	-0.2	0.265	0.995	compt
1	124	2	2	-0.345	-0.493	0.744	phot
1	124	3	3	0.0301	0.64	0.036	phot
2	11	2	2	-0.132	-0.00204	0.966	phot
2	112	2	3	-0.175	0.0373	0.977	phot
1	125	3	2	0.193	-0.322	1.42	phot
1	29.7	4	3	4.01	0.8	0.0166	phot
1	124	3	2	0.0381	-0.00364	0.287	phot
1	117	3	3	0.883	0.108	4.37	phot
1	119	2	2	-0.899	-0.0375	1.39	phot
1	122	3	2	0.231	-0.027	0.475	phot
1	124	3	2	1.01	-0.193	0.41	phot
1	121	2	2	-0.601	-0.0811	0.0403	phot
1	123	2	2	-0.169	-0.623	1.32	phot
1	118	3	2	0.699	-0.751	0.209	compt
1	121	3	3	0.844	0.353	0.901	phot
2	26.1	3	3	0.00444	0.0953	2.07	phot
2	97	2	3	-0.00985	0.096	2.06	eIoni
1	123	3	3	0.197	1.08	2.39	phot
1	122	2	2	-0.504	-0.843	0.626	phot
1	96.9	3	3	0.387	0.935	0.398	phot
1	125	2	3	-0.472	0.575	4.7	phot
2	90.6	3	3	0.414	0.0414	1.73	phot
2	31.2	3	2	0.427	-0.00062	1.67	phot
1	71.5	1	2	-4.97	-1.74	0.657	phot
1	122	3	3	0.291	0.358	0.59	phot
1	64.4	1	3	-3.36	0.115	0.0722	phot
1	119	2	2	-1.28	-0.455	4.49	phot
1	124	3	2	0.731	-0.064	4.75	phot
1	120	2	3	-0.118	0.306	1.26	compt
1	68.2	3	1	0.647	-3.93	0.241	phot
1	122	2	2	-0.893	-0.607	0.311	phot
1	119	2	4	-0.0238	3.03	1.35	phot
1	125	2	2	-0.131	-0.833	1.98	phot
1	54.6	4	4	2.95	4.93	1.02	phot
1	90.5	1	4	-3.98	3.99	0.603	phot
2	97	3	3	0.0689	1.11	0.176	phot
2	29	2	3	-0.303	0.614	0.144	phot
1	121	2	2	-0.61	-0.478	0.519	phot
1	123	2	2	-0.11	-0.738	0.0568	phot
1	121	2	3	-0.652	0.0699	3.66	phot
1	121	2	2	-0.0656	-0.123	1.92	phot
1	122	2	2	-0.199	-0.493	2.51	phot
1	120	2	3	-0.404	0.337	0.211	phot
1	121	3	2	0.57	-0.104	0.96	phot
1	119	3	2	0.252	-0.315	2.75	phot
1	118	3	3	0.67	0.351	1.59	phot
1	68.1	4	4	3.32	2.8	0.493	phot
1	124	3	3	0.868	0.0882	0.696	phot
1	18.5	3	2	0.902	-0.302	4.57	compt
2	97.2	3	3	0.299	0.0763	2.34	phot
2	27.9	2	2	-0.127	-0.167	2.3	phot
1	120	3	2	0.146	-0.604	0.232	phot
1	58.8	1	3	-3.22	1.54	0.927	phot
1	121	3	3	0.888	0.546	1.08	compt
1	123	3	3	0.604	0.251	2.15	phot
1	120	3	2	0.0235	-0.337	0.223	phot
1	124	2	3	-0.605	0.443	0.895	phot
1	122	2	2	-0.0646	-0.283	1.76	phot
1	123	3	3	0.167	0.0415	0.758	phot
2	92.9	3	2	0.397	-0.106	0.877	phot
2	28.6	3	3	0.363	0.00129	0.798	phot
1	116	2	2	-0.603	-0.771	0.629	phot
1	120	3	2	1.05	-0.173	2.07	phot
1	124	3	2	0.9	-0.284	0.4	phot
1	118	3	3	0.343	0.222	0.196	phot
1	16.5	4	2	4.02	-2.46	0.454	compt
1	121	3	3	0.341	0.803	1.36	phot
1	122	2	3	-0.873	0.295	2.38	phot
